level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
5,8PSK 2/3,watterson-moderate,18.0,400,224,0.560000,0.511013,0.607846,0.00000000,2236.24
5,8PSK 2/3,watterson-moderate,21.0,400,146,0.365000,0.319312,0.413256,0.00000000,3227.29
5,8PSK 2/3,watterson-moderate,24.0,400,111,0.277500,0.235894,0.323339,0.00000000,3672.00
5,8PSK 2/3,watterson-moderate,27.0,400,97,0.242500,0.203076,0.286822,0.00000000,3849.88
5,8PSK 2/3,watterson-moderate,30.0,400,109,0.272500,0.231185,0.318143,0.00000000,3697.41
6,16QAM 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,9.0,400,397,0.992500,0.978184,0.997446,0.00000000,34.16
6,16QAM 1/2,watterson-moderate,12.0,400,365,0.912500,0.880739,0.936413,0.00000000,398.59
6,16QAM 1/2,watterson-moderate,15.0,400,292,0.730000,0.684457,0.771167,0.00000000,1229.93
6,16QAM 1/2,watterson-moderate,18.0,400,206,0.515000,0.466114,0.563601,0.00000000,2209.32
6,16QAM 1/2,watterson-moderate,21.0,400,121,0.302500,0.259539,0.349218,0.00000000,3177.32
6,16QAM 1/2,watterson-moderate,24.0,400,83,0.207500,0.170634,0.249931,0.00000000,3610.07
6,16QAM 1/2,watterson-moderate,27.0,400,47,0.117500,0.089522,0.152755,0.00000000,4020.05
6,16QAM 1/2,watterson-moderate,30.0,400,41,0.102500,0.076459,0.136103,0.00000000,4088.38
7,16QAM 3/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,12.0,400,398,0.995000,0.981955,0.998628,0.00000000,34.26
7,16QAM 3/4,watterson-moderate,15.0,400,387,0.967500,0.945196,0.980910,0.00000000,222.68
7,16QAM 3/4,watterson-moderate,18.0,400,373,0.932500,0.903573,0.953199,0.00000000,462.49
7,16QAM 3/4,watterson-moderate,21.0,400,347,0.867500,0.830754,0.897255,0.00000000,907.86
7,16QAM 3/4,watterson-moderate,24.0,400,326,0.815000,0.774014,0.849993,0.00000000,1267.58
7,16QAM 3/4,watterson-moderate,27.0,400,310,0.775000,0.731573,0.813195,0.00003019,1541.65
7,16QAM 3/4,watterson-moderate,30.0,400,307,0.767500,0.723677,0.806234,0.00000000,1593.04
9,64QAM 2/3,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,18.0,400,399,0.997500,0.985977,0.999559,0.00000000,16.94
9,64QAM 2/3,watterson-moderate,21.0,400,392,0.980000,0.961037,0.989832,0.00000000,135.53
9,64QAM 2/3,watterson-moderate,24.0,400,384,0.960000,0.936018,0.975231,0.00000000,271.06
9,64QAM 2/3,watterson-moderate,27.0,400,381,0.952500,0.927008,0.969383,0.00000000,321.88
9,64QAM 2/3,watterson-moderate,30.0,400,375,0.937500,0.909366,0.957311,0.00000000,423.53
10,64QAM 7/8,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,18.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,21.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,24.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,27.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 7/8,watterson-moderate,30.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
