level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps,sync_failed,header_corrupt,ldpc_not_converged,crc_mismatch,wrong_payload
1,BPSK 1/4,awgn,0.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,50,0,0,0,0
1,BPSK 1/4,awgn,3.0,50,15,0.300000,0.191036,0.437504,0.00000000,229.74,15,0,0,0,0
1,BPSK 1/4,awgn,6.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,9.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,12.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,15.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,18.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,21.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,24.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
1,BPSK 1/4,awgn,27.0,50,0,0.000000,0.000000,0.071348,0.00000000,328.21,0,0,0,0,0
2,BPSK 1/2,awgn,0.0,50,50,1.000000,0.928652,1.000000,0.00000000,0.00,50,0,0,0,0
2,BPSK 1/2,awgn,3.0,50,15,0.300000,0.191036,0.437504,0.00000000,480.00,15,0,0,0,0
2,BPSK 1/2,awgn,6.0,50,0,0.000000,0.000000,0.071348,0.00000000,685.71,0,0,0,0,0
2,BPSK 1/2,awgn,9.0,50,0,0.000000,0.000000,0.071348,0.00000000,685.71,0,0,0,0,0
2,BPSK 1/2,awgn,12.0,50,0,0.000000,0.000000,0.071348,0.00000000,685.71,0,0,0,0,0
2,BPSK 1/2,awgn,15.0,50,0,0.000000,0.000000,0.071348,0.00000000,685.71,0,0,0,0,0
