level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,watterson-moderate,-3.0,400,398,0.995000,0.981955,0.998628,0.00000000,1.76
1,BPSK 1/4,watterson-moderate,0.0,400,351,0.877500,0.841731,0.906087,0.00000000,43.08
1,BPSK 1/4,watterson-moderate,3.0,400,250,0.625000,0.576579,0.671043,0.00000000,131.87
1,BPSK 1/4,watterson-moderate,6.0,400,133,0.332500,0.288118,0.380069,0.00000000,234.73
1,BPSK 1/4,watterson-moderate,9.0,400,64,0.160000,0.127333,0.199136,0.00000000,295.38
1,BPSK 1/4,watterson-moderate,12.0,400,26,0.065000,0.044740,0.093535,0.00000000,328.79
1,BPSK 1/4,watterson-moderate,15.0,400,12,0.030000,0.017243,0.051699,0.00000000,341.10
1,BPSK 1/4,watterson-moderate,18.0,400,5,0.012500,0.005351,0.028924,0.00000000,347.25
1,BPSK 1/4,watterson-moderate,21.0,400,5,0.012500,0.005351,0.028924,0.00000000,347.25
1,BPSK 1/4,watterson-moderate,24.0,400,4,0.010000,0.003895,0.025427,0.00000000,348.13
1,BPSK 1/4,watterson-moderate,27.0,400,3,0.007500,0.002554,0.021816,0.00000000,349.01
1,BPSK 1/4,watterson-moderate,30.0,400,2,0.005000,0.001372,0.018045,0.00000000,349.89
2,BPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,watterson-moderate,-3.0,400,397,0.992500,0.978184,0.997446,0.00000000,5.32
2,BPSK 1/2,watterson-moderate,0.0,400,355,0.887500,0.852776,0.914852,0.00000000,79.78
2,BPSK 1/2,watterson-moderate,3.0,400,249,0.622500,0.574041,0.668628,0.00000000,267.71
2,BPSK 1/2,watterson-moderate,6.0,400,131,0.327500,0.283340,0.374942,0.00003444,476.91
2,BPSK 1/2,watterson-moderate,9.0,400,68,0.170000,0.136369,0.209909,0.00000000,588.60
2,BPSK 1/2,watterson-moderate,12.0,400,38,0.095000,0.069997,0.127708,0.00000000,641.79
2,BPSK 1/2,watterson-moderate,15.0,400,23,0.057500,0.038618,0.084801,0.00000000,668.38
2,BPSK 1/2,watterson-moderate,18.0,400,16,0.040000,0.024769,0.063982,0.00000000,680.79
2,BPSK 1/2,watterson-moderate,21.0,400,21,0.052500,0.034592,0.078922,0.00000000,671.93
2,BPSK 1/2,watterson-moderate,24.0,400,12,0.030000,0.017243,0.051699,0.00000000,687.88
2,BPSK 1/2,watterson-moderate,27.0,400,18,0.045000,0.028651,0.070005,0.00000000,677.25
2,BPSK 1/2,watterson-moderate,30.0,400,15,0.037500,0.022855,0.060944,0.00000000,682.56
3,QPSK 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,watterson-moderate,-3.0,400,399,0.997500,0.985977,0.999559,0.00000000,3.07
3,QPSK 1/2,watterson-moderate,0.0,400,389,0.972500,0.951435,0.984576,0.00000000,33.80
3,QPSK 1/2,watterson-moderate,3.0,400,318,0.795000,0.752721,0.831667,0.00000000,251.99
3,QPSK 1/2,watterson-moderate,6.0,400,249,0.622500,0.574041,0.668628,0.00000000,464.03
3,QPSK 1/2,watterson-moderate,9.0,400,188,0.470000,0.421607,0.518964,0.00000000,651.48
3,QPSK 1/2,watterson-moderate,12.0,400,156,0.390000,0.343464,0.438629,0.00000000,749.82
3,QPSK 1/2,watterson-moderate,15.0,400,116,0.290000,0.247697,0.336299,0.00000000,872.74
3,QPSK 1/2,watterson-moderate,18.0,400,94,0.235000,0.196091,0.278951,0.00000000,940.34
3,QPSK 1/2,watterson-moderate,21.0,400,82,0.205000,0.168333,0.247279,0.00000000,977.22
3,QPSK 1/2,watterson-moderate,24.0,400,73,0.182500,0.147727,0.223313,0.00000000,1004.88
3,QPSK 1/2,watterson-moderate,27.0,400,66,0.165000,0.131845,0.204528,0.00000000,1026.39
3,QPSK 1/2,watterson-moderate,30.0,400,68,0.170000,0.136369,0.209909,0.00000000,1020.24
4,QPSK 3/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
4,QPSK 3/4,watterson-moderate,0.0,400,399,0.997500,0.985977,0.999559,0.00000000,4.62
4,QPSK 3/4,watterson-moderate,3.0,400,375,0.937500,0.909366,0.957311,0.00000000,115.56
4,QPSK 3/4,watterson-moderate,6.0,400,355,0.887500,0.852776,0.914852,0.00000000,208.00
4,QPSK 3/4,watterson-moderate,9.0,400,312,0.780000,0.736847,0.817826,0.00000000,406.76
4,QPSK 3/4,watterson-moderate,12.0,400,263,0.657500,0.609695,0.702309,0.00000000,633.24
4,QPSK 3/4,watterson-moderate,15.0,400,221,0.552500,0.503502,0.600499,0.00000000,827.38
4,QPSK 3/4,watterson-moderate,18.0,400,200,0.500000,0.451235,0.548765,0.00000000,924.44
4,QPSK 3/4,watterson-moderate,21.0,400,183,0.457500,0.409314,0.506495,0.00000000,1003.02
4,QPSK 3/4,watterson-moderate,24.0,400,174,0.435000,0.387263,0.483974,0.00000000,1044.62
4,QPSK 3/4,watterson-moderate,27.0,400,170,0.425000,0.377494,0.473932,0.00000000,1063.11
4,QPSK 3/4,watterson-moderate,30.0,400,166,0.415000,0.367746,0.463871,0.00000000,1081.60
5,8PSK 2/3,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
5,8PSK 2/3,watterson-moderate,12.0,400,378,0.945000,0.918133,0.963402,0.00000000,279.53
5,8PSK 2/3,watterson-moderate,15.0,400,341,0.852500,0.814400,0.883894,0.00000000,749.65
5,8PSK 2/3,watterson-moderate,18.0,400,277,0.692500,0.645625,0.735713,0.00000000,1562.82
5,8PSK 2/3,watterson-moderate,21.0,400,217,0.542500,0.493505,0.590686,0.00000000,2325.18
5,8PSK 2/3,watterson-moderate,24.0,400,205,0.512500,0.463631,0.561131,0.00000000,2477.65
5,8PSK 2/3,watterson-moderate,27.0,400,201,0.502500,0.453711,0.551241,0.00000000,2528.47
5,8PSK 2/3,watterson-moderate,30.0,400,181,0.452500,0.404405,0.501499,0.00000000,2782.59
6,16QAM 1/2,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
6,16QAM 1/2,watterson-moderate,9.0,400,397,0.992500,0.978184,0.997446,0.00000000,34.16
6,16QAM 1/2,watterson-moderate,12.0,400,379,0.947500,0.921078,0.965408,0.00000000,239.15
6,16QAM 1/2,watterson-moderate,15.0,400,313,0.782500,0.739487,0.820138,0.00000000,990.78
6,16QAM 1/2,watterson-moderate,18.0,400,248,0.620000,0.571505,0.666213,0.00000000,1731.01
6,16QAM 1/2,watterson-moderate,21.0,400,197,0.492500,0.443811,0.541331,0.00000000,2311.81
6,16QAM 1/2,watterson-moderate,24.0,400,162,0.405000,0.358018,0.453789,0.00000000,2710.40
6,16QAM 1/2,watterson-moderate,27.0,400,162,0.405000,0.358018,0.453789,0.00000000,2710.40
6,16QAM 1/2,watterson-moderate,30.0,400,160,0.400000,0.353162,0.448741,0.00000000,2733.18
7,16QAM 3/4,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
7,16QAM 3/4,watterson-moderate,12.0,400,399,0.997500,0.985977,0.999559,0.00000000,17.13
7,16QAM 3/4,watterson-moderate,15.0,400,389,0.972500,0.951435,0.984576,0.00000000,188.42
7,16QAM 3/4,watterson-moderate,18.0,400,359,0.897500,0.863897,0.923541,0.00000000,702.31
7,16QAM 3/4,watterson-moderate,21.0,400,330,0.825000,0.784721,0.859096,0.00000000,1199.06
7,16QAM 3/4,watterson-moderate,24.0,400,295,0.737500,0.692268,0.778213,0.00000000,1798.59
7,16QAM 3/4,watterson-moderate,27.0,400,276,0.690000,0.643049,0.733336,0.00000000,2124.05
7,16QAM 3/4,watterson-moderate,30.0,400,275,0.687500,0.640474,0.730958,0.00000000,2141.18
9,64QAM 2/3,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
9,64QAM 2/3,watterson-moderate,18.0,400,394,0.985000,0.967665,0.993108,0.00000000,101.65
9,64QAM 2/3,watterson-moderate,21.0,400,383,0.957500,0.932998,0.973298,0.00000000,288.00
9,64QAM 2/3,watterson-moderate,24.0,400,366,0.915000,0.883568,0.938537,0.00000000,576.00
9,64QAM 2/3,watterson-moderate,27.0,400,346,0.865000,0.828019,0.895037,0.00000000,914.82
9,64QAM 2/3,watterson-moderate,30.0,400,340,0.850000,0.811686,0.881655,0.00000000,1016.47
10,64QAM 5/6,watterson-moderate,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,12.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,15.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,18.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
10,64QAM 5/6,watterson-moderate,21.0,400,399,0.997500,0.985977,0.999559,0.00000000,21.12
10,64QAM 5/6,watterson-moderate,24.0,400,399,0.997500,0.985977,0.999559,0.00000000,21.12
10,64QAM 5/6,watterson-moderate,27.0,400,399,0.997500,0.985977,0.999559,0.00000000,21.12
10,64QAM 5/6,watterson-moderate,30.0,400,399,0.997500,0.985977,0.999559,0.00000000,21.12
